geneID	NC1	NC2	NC3	NP1	NP2	NP3
Os01g0197700	-0.5042443898472545	-2.536495564613408	-5.376186316560426	5.029200970319203	4.5095199372317145	4.0052774410194845
Os01g0842500	-1.0593349580771376	-4.855300567369661	-3.0454576426379467	4.879515171758733	4.690893233312491	4.355479528325348
Os01g0843800	-5.129154033123583	-4.855300567369661	-5.376186316560426	3.100683152342211	3.2254628784064105	2.525331856390935
Os01g0910800	-0.605891675697611	0.09561045794467363	0.5831140934658536	9.58560050305912	8.362723050704648	8.783443047076974
Os03g0273200	-2.4202690996309717	-4.855300567369661	-5.376186316560426	4.077669136747795	3.6438273565381936	3.3115994885486635
Os03g0423300	-2.8223235138016367	-4.855300567369661	-5.376186316560426	4.81664414768252	3.771479855867118	3.7426108303853294
Os05g0135500	-5.129154033123583	-1.1583178937415757	-5.376186316560426	5.332422317840424	5.007574007539785	4.826744048542935
Os06g0731000	-5.129154033123583	-4.855300567369661	-5.376186316560426	2.001511423721122	2.7661480947485266	3.3455564429004108
Os08g0231400	4.817353726808436	3.3039430397518883	4.395928988704481	-3.714644434514147	-5.612511867224539	-2.727167484435303
Os08g0286500	-5.129154033123583	-4.855300567369661	-5.376186316560426	1.9906486400766459	2.383120788316623	1.9323982035692948
Os08g0442900	-3.55533227361853	-4.855300567369661	-5.376186316560426	3.7738515243862927	2.4403364200055497	3.2095799449848013
Os09g0425200	-2.331330088226329	-3.276008714384307	-5.376186316560426	3.7172090445816406	3.8132827800911615	4.11693807758479
Os10g0467800	-5.129154033123583	0.568074468093123	-5.376186316560426	4.957789602202675	4.705182231752786	4.421927141176475
Os11g0454200	0.5330274920232827	-1.3987852004835772	-0.8544366006705474	8.208471643655125	6.867475009277384	6.052431036510567
Os11g0454300	3.2266343900069634	1.3703795473477443	0.9898099894247515	12.012905819892685	10.57519924052465	9.959961112383615
Os11g0659200	-2.3226232915298266	-4.855300567369661	-5.376186316560426	6.848045725512093	5.867521618888803	5.748783767658491
